"spotify_id";"name";"artist";"position";"genre_name"
"3t6gUcGYLrUuqwpXjOFWQc";"I Never Lie";"Zach Top";"1";"2024"
"0FTmksd2dxiE5e3rWyJXs6";"back to friends";"sombr";"2";"2024"
"0hta2Lb2zKJ7kEnAEZEE3G";"Nope your too late i already died";"wifiskeleton, i wanna be a jack-o-lantern";"3";"2024"
"0InIeZW4P6VO7dUGRM4AKH";"Sienna";"The Marías";"4";"2024"
"6dOtVTDdiauQNBQEDOtlAB";"BIRDS OF A FEATHER";"Billie Eilish";"5";"2024"
"3QaPy1KgI7nu9FJEQUgn6h";"WILDFLOWER";"Billie Eilish";"6";"2024"
"51rfRCiUSvxXlCSCfIztBy";"I Love You, I'm Sorry";"Gracie Abrams";"7";"2024"
"2plbrEY59IikOBgBGLjaoe";"Die With A Smile";"Lady Gaga, Bruno Mars";"8";"2024"
"1KZG1H1OCugGqIRmk1wF9m";"Indigo (feat. Avery Anna)";"Sam Barber, Avery Anna";"9";"2024"
"6jbYpRPTEFl1HFKHk1IC0m";"Like Him (feat. Lola Young)";"Tyler, The Creator, Lola Young";"10";"2024"
"4ZJ4vzLQekI0WntDbanNC7";"Pink Skies";"Zach Bryan";"11";"2024"
"0aB0v4027ukVziUGwVGYpG";"tv off (feat. lefty gunplay)";"Kendrick Lamar, Lefty Gunplay";"12";"2024"
"6AI3ezQ4o3HUoP6Dhudph3";"Not Like Us";"Kendrick Lamar";"13";"2024"
"0WbMK4wrZ1wFSty9F7FCgu";"Good Luck, Babe!";"Chappell Roan";"14";"2024"
"7ne4VBA60CxGM75vw0EYad";"That’s So True";"Gracie Abrams";"15";"2024"
"2A22iI0x4EYAVXNpKPhNEM";"weren't for the wind";"Ella Langley";"16";"2024"
"3EO58D1YpHnTvBy68gK8HE";"Wind Up Missin’ You";"Tucker Wetmore";"17";"2024"
"5G2f63n7IPVPPjfNIGih7Q";"Taste";"Sabrina Carpenter";"18";"2024"
"3siwsiaEoU4Kuuc9WKMUy5";"No One Noticed";"The Marías";"19";"2024"
"3xkHsmpQCBMytMJNiDf3Ii";"Beautiful Things";"Benson Boone";"20";"2024"
"51ZQ1vr10ffzbwIjDCwqm4";"we can't be friends (wait for your love)";"Ariana Grande";"21";"2024"
"2CGNAOSuO1MEFCbBRgUzjd";"luther (with sza)";"Kendrick Lamar, SZA";"22";"2024"
"1osfLqL6L2iQsirRf83ded";"Worst Way";"Riley Green";"23";"2024"
"2RkZ5LkEzeHGRsmDqKwmaJ";"Ordinary";"Alex Warren";"24";"2024"
"4WFgvKVfEhb3IUAFGrutTR";"Love Me Not";"Ravyn Lenae";"25";"2024"
"1k2pQc5i348DCHwbn5KTdc";"Pink Pony Club";"Chappell Roan";"26";"2023"
"4KULAymBBJcPRpk1yO4dOG";"I Remember Everything (feat. Kacey Musgraves)";"Zach Bryan, Kacey Musgraves";"27";"2023"
"51hyZpbJlIgZIaX3TtMxmu";"run for the hills";"Tate McRae";"28";"2023"
"3ZaEs1O8BG581qYPHpQ8d6";"I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino)";"A$AP Rocky, Imogen Heap, Clams Casino";"29";"2023"
"0eaVIYo2zeOaGJeqZ5TwYz";"No Pole";"Don Toliver";"30";"2023"
"3vkCueOmm7xQDoJ17W1Pm3";"My Love Mine All Mine";"Mitski";"31";"2023"
"7CyPwkp0oE8Ro9Dd5CUDjW";"One Of The Girls (with JENNIE, Lily Rose Depp)";"The Weeknd, JENNIE, Lily-Rose Depp";"32";"2023"
"43iIQbw5hx986dUEZbr3eN";"From The Start";"Laufey";"33";"2023"
"36vmaZyO0iAE6FZ7287fg2";"Dive";"Olivia Dean";"34";"2023"
"1TE8AAk9koG0UJco6ZAUfx";"Rock and A Hard Place";"Bailey Zimmerman";"35";"2023"
"0eBFgRxyVSeuT4iyrbukdn";"Where the Wild Things Are";"Luke Combs";"36";"2023"
"3dj4wgM3cPeuLwMNHDuBon";"The Door";"Teddy Swims";"37";"2023"
"4iuau93DIXte8XjntHxfQJ";"Brown Noise Therapy Loop For Sleeping (Loopable no fade)";"Dream Supplier, Baby Sleeps, Background White Noise";"38";"2023"
"3cPoiK69oQ1SdbB2j2ulGm";"The Hardest Part";"Olivia Dean";"39";"2023"
"0B97qFqGUnLvV2tXZpXfxf";"Deep Sleep Brown Noise";"Bits & Noise";"40";"2023"
"4Sb8neYCkT7lyMIo2kOOEC";"Thinkin’ Bout Me";"Morgan Wallen";"41";"2023"
"3rUGC1vUpkDG9CZFHMur1t";"greedy";"Tate McRae";"42";"2023"
"1XBYiRV30ykHw5f4wm6qEn";"NIGHTS LIKE THIS";"The Kid LAROI";"43";"2023"
"736PP5LTtREkDgktNmX3Gu";"Superpowers";"Daniel Caesar";"44";"2023"
"1Lo0QY9cvc8sUB2vnIOxDT";"Fast Car";"Luke Combs";"45";"2023"
"583dMdiUquLMenarTp7PQm";"Last Night";"Morgan Wallen";"46";"2023"
"4mtmmBBEgdJLYWnLy5zvWE";"Cowgirls";"Morgan Wallen, ERNEST";"47";"2023"
"3Gn1zuHNLtGuGEOXwq0k7e";"Think I'm In Love With You";"Chris Stapleton";"48";"2023"
"17phhZDn6oGtzMe56NuWvj";"Lose Control";"Teddy Swims";"49";"2023"
"6393yGahSJ9slVdOwSxOVR";"Pink Pony Club";"Chappell Roan";"50";"2023"
"1HbzxLqpNVPdiBXvpC7Ovb";"Wondering Why";"The Red Clay Strays";"51";"2022"
"0Hnm7mnmqOLCIgvbMpM4Ev";"Maui Wowie";"Kid Cudi";"52";"2022"
"3qhlB30KknSejmIvZZLjOD";"End of Beginning";"Djo";"53";"2022"
"3WMj8moIAXJhHsyLaqIIHI";"Something in the Orange";"Zach Bryan";"54";"2022"
"2Hh3ETdQKrmSI3QS0hme7g";"Too Many Nights (feat. Don Toliver & with Future)";"Metro Boomin, Future, Don Toliver";"55";"2022"
"2L9N0zZnd37dwF0clgxMGI";"ceilings";"Lizzy McAlpine";"56";"2022"
