song_name,artist,genre,tags,song_length_sec,tempo_bpm,popularity_score,time_of_day,is_explicit,user_liked_previous_song,skipped
Smoke Rings (feat. Klouds),"C-Trox, Klouds",bass trap,,229,140.99033154879004,29,evening,0,0,0
San Pethano Sto,Talking to Charos,rebetiko,,204,133.86950524369152,94,morning,1,1,0
Collide - Acoustic Version,Howie Day,neo mellow,"acoustic, alternative, pop",235,120.8944555488026,74,evening,1,0,0
Butler Field,Caroline Aiken,contemporary folk,"singer-songwriter, caroline aiken",270,110.2959483344164,98,night,1,0,0
Uno Nunca Sabe,Alicastro,colombian rock,"Sunshine009, Fusion Rock",200,130.47334970420386,71,evening,0,0,0
"Piazza, New York Catcher",Belle & Sebastian,freak folk,"indie, acoustic",200,125.90228078132624,2,evening,0,0,0
The Trip to Parliament / The Torn Jacket [Reels],"Mike Rafferty, Billy McComiskey, Brendan Dolan",jig and reel,,273,133.427898300416,13,night,0,1,0
Günler,mavisakal,turkish alternative,"Do You Want The Truth Or Something Beautiful, liked, hard rock, great lyrics, turkish rock",240,129.52757702522953,59,morning,0,0,1
Asaru,Malika Domrane,rai,,191,135.74329072979003,76,morning,0,1,0
Waterfalls - Live,"Aron Ottignon, Rodi Kirk, Samuel Dubois",indie jazz,,231,111.97147182659148,44,night,0,1,1
Poetas del Llano,Jose Ali Nieves,classic venezuelan pop,,191,139.76091098451488,95,night,0,1,1
I Wanna Feel Your Body,"DJ Aron, Edson Pride, Beth Sacks",vocal house,,191,122.963994070386,33,night,1,0,0
The Finest - Tommy Mc Edit,"Beatmap, Jenny Jones, Tommy Mc",ambient fusion,,219,151.12891308937898,44,evening,1,1,0
Blázni umírají nadvakrát,AG Flek,czech folk,,133,109.66218272865648,60,night,0,0,0
Geheimnis,Laith Al-Deen,german pop rock,,141,146.03945704747875,82,afternoon,0,0,0
Does Anybody Really Fall in Love,Kane Roberts,glam metal,,187,122.96866175193972,15,evening,0,0,0
How I Mutilated Susan,JET W. LEE,chicago indie,,169,110.22872994578329,65,morning,1,1,0
The Moon,"Will Connolly, Once Ensemble",broadway,,222,112.74171248918518,39,morning,0,0,0
Dil tan pagal hai,Naseebo Lal,pakistani pop,,173,115.1947903770852,16,morning,1,0,0
Grey Areas,"David Kikoski, Eric Revis, Jeff ""Tain"" Watts",deep jazz piano,,153,126.36248919602876,33,evening,1,0,0
Jeremy Parker,Swirlies,alternative pop,"shoegaze, noise pop, dreampop",268,127.8425323205325,15,afternoon,1,1,0
Wanna Be That Song,Brett Eldredge,neo mellow,"american, country",200,111.39449994092132,59,night,1,1,0
Tempra,The Rebel Wheel,crossover prog,,212,119.63468111608526,65,night,1,1,0
Your Ghost,Kristin Hersh,lilith,"female vocalists, acoustic",153,152.13405537917794,65,morning,0,0,0
Body,Lillies and Remains,j-indie,,188,145.91314755151066,89,morning,0,1,0
Almaz men eda nèw,Frew Haylou,ethiopian pop,chanson africaine,214,126.54485504511048,12,evening,1,0,0
Purge The Three Evils,Tan Xinpei,chinese opera,,163,120.570052172523,55,afternoon,0,0,0
Arcadia - Video Edit,Apparat,glitch,,225,121.80046990077392,30,night,1,1,0
Chica Solitaria,Lone Star,spanish invasion,,185,129.20276959095625,33,evening,1,0,0
君と出逢って,Ketsumeishi,j-rap,,198,104.65811152202392,38,night,0,1,0
My Heart Stood Still,Kate McGarry,deep vocal jazz,,185,116.13935193864982,66,morning,0,0,1
Helsinki,Waltari,suomi rock,"crossover, Progressive metal, hjuva metal",284,94.97123889183617,7,night,0,1,0
Se Jinen Azad,Delila,kurdish folk,"kurdistan, free kurdistan",209,125.98834683907918,86,afternoon,0,0,0
Lights Down Low,MAX,post-teen pop,"american, love at first listen, male vocalists, indie pop, rnb",167,129.70793909554112,77,afternoon,0,0,0
The Chop,Manila Luzon & Latrice Royale,strut,"dance-pop, duets, pop",242,112.7522030655094,54,morning,1,0,0
Ruins,Eternal of Sweden,melodic power metal,,161,143.6098014493505,26,afternoon,0,0,0
Give Me The Night - Single-Version,Facts & Fiction,deep italo disco,,218,101.61351505496488,92,afternoon,0,0,1
I Wanna Go to the Sock Hop,The Carmines,power-pop punk,,131,98.0343767968527,52,evening,0,1,0
Jealous Guy,Hurray For The Riff Raff,progressive bluegrass,"folk, americana, coversongs",156,123.36677727839958,38,night,1,0,0
Run Baby Run,Paul Ritch,minimal techno,,217,135.70647453918232,64,morning,0,1,0
Diamond Joe,"Jim Kweskin, Geoff Muldaur",jug band,,239,145.25891537186803,16,morning,1,1,0
Oo Poppa Do,Lavay Smith & Her Red Hot Skillet Lickers,swing,"swing, female vocals",216,113.1167360569659,29,morning,0,1,0
I'm not a witch,Nadehda Kadisheva,classic russian pop,,205,136.18021250146944,52,morning,0,0,0
A Little Closer,Francesqa,british alternative rock,,197,119.4223729574894,12,morning,1,0,0
Løvehjerter,Don Martin,norwegian rock,,150,117.41059050088772,20,afternoon,0,0,0
The Hunt,Parasite Single,etherpop,frauen und technik,181,133.2548990623001,18,evening,0,1,0
Protégeme,Ganjah Roots,ecuadoria,,191,129.7848431762013,52,morning,1,0,0
Ta Moiado,"DJ Caique, Primeiramente",brazilian hip hop,,252,96.35411764523626,18,evening,0,0,0
War on You,The Shooters,hard stoner rock,,223,142.14810524588844,56,evening,1,1,0
Electro Bass Express,Miami Bass Tracks,miami bass,,139,140.70137031221176,24,afternoon,1,1,0
Fall Like a Feather,Dan Owen,indie anthem-folk,,222,110.61655947735706,85,morning,1,1,0
6 Graus Abaixo de Zero - Ao Vivo,"Breno & Caio Cesar, Matheus & Kauan",sertanejo,,194,125.93705300156114,30,afternoon,1,1,0
Saturday Night - Radio Edit,Whigfield,bubblegum dance,get on up,182,127.41045279424108,80,morning,1,1,0
Warriors Tongue,Masia One,canadian hip hop,,234,123.9101064873586,54,afternoon,0,1,0
Du coeur,Naseer Shamma et son ensemble,arab folk,,251,111.7454226923187,22,evening,0,0,0
Travel,Johnny Lee Willis,vintage western,,247,109.92564948092922,31,morning,0,1,0
18 Wheeler,Tweeday,deep southern trap,,176,119.61668893512832,61,night,1,0,0
Rub It,Larry Love Hamilton,southern soul blues,,197,137.59093528889048,73,evening,1,0,0
Cinderella,Steven Curtis Chapman,christian relaxative,"christian, contemporary christian",223,128.1540023189165,9,night,1,0,0
Poison Garden,The Orbweavers,australian indie,,249,114.4407850187084,99,evening,1,1,0
Na horoto,Perunika Trio,polyphony,,190,131.57548065972517,71,afternoon,0,0,0
"Michael Kohlhaas, Track 1",Heinrich von Kleist,reading,,202,77.27186069054886,53,morning,0,1,0
Can't Let Go,Lucinda Williams,country rock,"country, Alt-country",165,137.23148550558156,51,evening,1,1,0
"I Can't Help Myself (Sugar Pie, Honey Bunch) - Single Version (Mono)",Four Tops,classic funk rock,,162,93.90429331832851,19,afternoon,1,0,0
Homecoming,Hey Monday,emo,"pop punk, hey monday",242,114.563385878953,31,morning,0,1,0
Raja Jatuh Cinta,Numata,indonesian pop,"indonesian, numata, indonesia",264,103.20495158060784,13,morning,1,0,1
Mi Oración,Rebecca Lopez,lds,,207,100.5797778641864,49,evening,1,0,0
Lu core meu,Ballati Tutti Quanti,italian folk,,250,137.4124018106778,27,morning,1,1,0
He's Gone Away,Kathleen Battle,opera,"k battle, viva, 50er Schlager, classic, cecilia bartoli",224,112.98448198032165,52,evening,0,0,0
